Sr no,Date,Startup name,Industry Vertical,Sub Vertical,City Location,Investment Name,Investment Type,Amount in USD,Remarks
1,09/1/2020,Byjus,E-Tech,E-learning,Bengaluru,Tiger Global Manag,Private Equity R,"20,00,00,000",
2,13/1/2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Grow,Series C,"80,48,394",
3,09/1/2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital Ind,Series B,"1,83,58,860",
4,02/1/2020,Wealth Bucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,"30,00,000",
5,02/1/2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Part,Seed Round,"18,00,000",
6,13/1/2020,Pando,Logistics,"Open-market, freight management plat",Chennai,Chiratae Ventures,Series A,"90,00,000",
7,10/1/2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity R,"15,00,00,000",
8,12/12/2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer,Series A,"60,00,000",
9,06/12/2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voy,Series D,"7,00,00,000",
10,03/12/2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ra",Seed,"5,00,00,000",
11,13/12/2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spri",Series F,"2,00,00,000",
12,17/12/2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabr",Series C,"1,20,00,000",
13,16/12/2019,Licious,E-Commerce,Online Meat And Seafood Ordering St,Bengaluru,Vertex Growth Fund,Series E,"3,00,00,000",
14,16/12/2019,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,"59,00,000",
15,14/12/2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investme,Seed Round,"20,00,000",
16,11/12/2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education,Seed Round,"5,00,00,000",
17,20/12/2019,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fun,Series G,"23,10,00,000",
18,13/11/2019,Freshworks,Software,Business and customer engagement to,San Francisco,"Sequoia, CapitalG,",Series H,"15,00,00,000",
19,14/11/2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainfores",Series B,"4,86,000",
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Prime Venture Partn,Seed,"15,00,000",
21,17/11/2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,undisclosed,
22,18/11/2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,DG Daiwa Ventures,Series B,"1,20,00,000",
23,15/11/2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Adv,Debt Funding,"2,60,00,000",
24,20/11/2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,"1,74,11,265",
25,12/11/2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"13,00,000",
26,20/11/2019,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, S",Series C,"13,50,00,000",
27,11/11/2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,"3,00,000",
28,19/11/2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructur,Seed Funding,"22,00,00,000",
29,18/11/2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Ackermans & van H,Series B,"1,58,00,000",
30,15/11/2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Ste",Series B,"28,30,00,000",
31,19/11/2019,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partn,,"20,00,00,000",
32,25/11/2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Shar,Funding Round,"1,00,00,00,000",
33,04/10/2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,"4,50,00,000",
34,02/10/2019,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, D",Series D,"58,50,00,000",
35,21/10/2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khuran,Corporate Roun,unknown,
36,05/9/2019,FPL Technologies,FinTech,Financial Services,Pune,Matrix Partners Indi,Maiden Round,"45,00,000",
37,04/9/2019,Cashflo,FinTech,Invoice discounting platform and SME,Mumbai,SAIF Partners,Series A,"33,00,000",
38,04/9/2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity R,"60,00,000",
39,04/9/2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Par,pre-series A,"50,00,000",
40,04/9/2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energ,Series A,"1,80,00,000",
41,04/9/2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,"10,00,000",
42,04/9/2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Applianc",Mumbai,A91 Partners,Series A,"1,00,00,000",
43,04/9/2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman a,Series C,"45,00,00,000",
44,03/9/2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilo",Series A,"50,00,000",
45,01/8/2019,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobilit,Series C,"2,00,00,000",nan
46,01/8/2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,"50,00,000",nan
47,01/8/2019,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,,Seed Funding R,"16,00,000",nan
48,01/8/2019,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny",Single Venture,"14,00,00,000",nan
49,01/8/2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Roun,"3,80,80,000",nan
50,12/8/2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,"12,50,00,000",nan
51,13/8/2019,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,"1,10,00,000",nan
52,13/8/2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partn,Series C,"5,10,00,000",nan
53,23/8/2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,"3,70,00,000",nan
54,23/8/2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,Rashmi Daga (foun,Seed Round,"5,00,000",nan
55,23/8/2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,"11,00,00,000",nan
56,22/8/2019,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Manag,Venture Round,"1,50,00,000",nan
57,21/8/2019,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communicat,Series C,"65,90,000",nan
58,23/8/2019,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,"10,00,000",nan
59,19/8/2019,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,Undisclosed,nan
60,19/8/2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fun,Series F,"7,00,00,000",nan
61,27/8/2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,"3,90,00,00,000",nan
62,02/7/2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL We",Series B,"1,90,00,000",nan
63,02/7/2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventur,Pre-Series A,"25,00,000",nan
64,01/7/2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,"1,45,000",nan
